	31867.fastq.gz.keep.blast8	32002.fastq.gz.keep.blast8	32006.fastq.gz.keep.blast8	32018.fastq.gz.keep.blast8	32025.fastq.gz.keep.blast8	32027.fastq.gz.keep.blast8	32043.fastq.gz.keep.blast8	33312.fastq.gz.keep.blast8	33314.fastq.gz.keep.blast8	
700109242_56809_[cov=2.000000]_1_376_+	0	0	0	0	1	0	0	0	0	
700100600_195746_[cov=7.000000]_1_2704_+	1	1	0	1	0	1	0	1	0	
700109242_79162_[cov=2.000000]_1_986_+	0	0	0	0	0	0	1	1	0	
700099803_aa90_1.2561	1	1	1	1	1	0	1	0	1	
700100600_141414_[cov=4.000000]_1_952_+	0	1	0	1	0	1	0	0	0	
700099803_319403_[cov=67.000000]_12349_19939_-	1	1	1	1	1	1	0	0	1	
700100600_201637_[cov=9.000000]_103_1117_+	0	0	0	0	0	0	0	0	0	
700109242_126111_[cov=3.000000]_1_2255_+	0	0	1	1	1	1	1	1	0	
700100600_215898_[cov=11.000000]_874_2377_-	0	1	0	0	1	1	1	0	1	
700109242_2245_[cov=1.000000]_1_268_-	0	0	0	0	0	1	1	0	0	
700100600_103978_[cov=4.000000]_1_578_-	0	0	0	0	0	0	0	0	0	
700099803_304306_[cov=11.000000]_3669_6910_+	1	1	0	1	0	1	0	0	1	
700099803_246351_[cov=5.000000]_1_2126_+	1	1	1	1	1	1	1	1	1	
700100600_223279_[cov=56.000000]_1059_1998_+	1	1	0	1	0	1	0	0	0	
700099803_271117_[cov=8.000000]_1_3261_-	1	1	0	1	1	1	0	0	0	
700099803_232435_[cov=5.000000]_1_1273_+	1	1	1	1	1	1	1	0	1	
700099803_325736_[cov=65.000000]_932_7637_-	1	0	0	1	0	1	1	0	0	
700109242_189222_[cov=48.000000]_996_4301_+	0	0	1	0	1	0	1	1	0	
700109242_149660_[cov=3.000000]_102_2591_+	0	0	1	1	1	0	1	0	0	
700100600_96411_[cov=5.000000]_1_653_+	1	1	0	1	0	1	0	0	1	
700109242_193376_[cov=12.000000]_2850_5133_+	0	1	0	0	0	0	1	1	1	
700109242_134378_[cov=2.000000]_1_2474_-	0	1	1	1	1	0	1	1	1	
700099803_293965_[cov=8.000000]_1_2841_-	0	1	0	0	0	1	0	0	0	
700100600_178673_[cov=6.000000]_302_2352_-	0	0	0	0	1	0	0	0	0	
700109242_112267_[cov=4.000000]_1_1448_-	0	0	0	0	0	0	0	0	0	
700099803_326509_[cov=9.000000]_1_3961_+	0	1	0	0	0	0	0	0	0	
700100600_187144_[cov=7.000000]_1163_2431_-	1	1	1	0	1	1	1	1	1	
700100600_112461_[cov=6.000000]_1_730_+	0	1	0	0	0	0	0	0	1	
700100600_107478_[cov=7.000000]_1_646_-	1	0	0	0	0	1	0	0	0	
700100600_204675_[cov=24.000000]_326_870_+	0	1	0	0	0	0	0	0	0	
700109242_192966_[cov=19.000000]_7888_11461_+	0	0	1	0	1	0	1	1	0	
700100600_192229_[cov=9.000000]_1_1633_+	0	1	0	1	1	1	0	0	0	
700099803_279096_[cov=10.000000]_1_1361_+	1	1	1	1	1	1	1	1	1	
700099803_297779_[cov=26.000000]_2056_4584_-	1	1	1	0	1	1	1	1	0	
700099803_223659_[cov=4.000000]_1_1628_+	0	1	0	1	0	0	0	0	0	
700109242_205993_[cov=17.000000]_3527_6508_-	1	0	1	0	1	0	1	0	0	
700099803_211198_[cov=4.000000]_306_785_+	0	1	0	0	0	0	0	0	0	
700100600_218422_[cov=20.000000]_1_2808_+	1	1	1	0	1	1	1	0	1	
700109242_105921_[cov=2.000000]_589_2414_+	0	0	1	0	0	1	1	1	1	
700109242_188590_[cov=17.000000]_1_5474_-	0	0	1	0	0	0	1	0	0	
700109242_173114_[cov=46.000000]_295_3799_-	0	1	0	1	1	1	1	1	0	
700099803_1161_[cov=3.000000]_1_270_-	1	1	0	1	0	1	0	0	1	
700099803_292864_[cov=9.000000]_3026_8659_+	1	1	0	1	0	1	0	1	1	
700109242_119659_[cov=3.000000]_1_2157_+	1	1	1	0	0	0	1	0	0	
700100600_224339_[cov=10.000000]_1_2516_+	1	1	0	1	0	0	0	0	1	
700099803_290267_[cov=9.000000]_4463_6757_+	1	1	1	1	0	1	0	0	1	
700099803_246573_[cov=6.000000]_1_1994_+	0	1	0	0	0	1	0	0	1	
700109242_131669_[cov=3.000000]_1_3180_+	0	1	0	0	1	0	0	0	1	
700100600_219616_[cov=10.000000]_2436_5589_-	1	1	0	0	1	1	1	0	1	
700109242_170136_[cov=18.000000]_1_3802_+	0	1	1	1	0	0	1	1	1	
700100600_193474_[cov=26.000000]_258_929_+	0	1	0	0	1	1	0	0	0	
700099803_263112_[cov=5.000000]_1325_3206_-	0	1	0	0	0	0	1	1	0	
700100600_178177_[cov=5.000000]_1_2058_-	1	1	0	1	1	1	0	0	1	
700099803_319437_[cov=15.000000]_53181_57491_-	0	1	1	1	1	0	1	0	0	
700109242_44715_[cov=1.000000]_220_470_+	0	0	0	0	0	0	0	0	0	
700100600_134935_[cov=3.000000]_18_1240_-	0	1	1	0	0	1	1	0	0	
700099803_281481_[cov=5.000000]_1_4028_+	1	1	1	1	1	1	1	1	1	
700099803_299593_[cov=26.000000]_1316_3385_+	0	1	0	0	1	1	0	0	0	
700100600_200613_[cov=8.000000]_1_2355_+	1	1	1	1	1	1	1	1	1	
700099803_132878_[cov=1.000000]_1_435_-	1	1	0	0	0	1	0	0	1	
700099803_255882_[cov=6.000000]_1_2273_+	0	0	0	0	0	1	0	0	0	
700109242_197355_[cov=18.000000]_1_2275_-	0	0	0	0	1	0	1	0	1	
700100600_173178_[cov=4.000000]_1_1020_+	0	1	0	0	0	1	0	0	0	
700109242_96596_[cov=8.000000]_1_373_+	1	1	1	1	1	1	1	1	1	
700099803_200136_[cov=3.000000]_135_624_+	1	1	0	1	0	0	0	0	1	
700100600_144060_[cov=5.000000]_1_1008_+	0	1	0	1	0	1	1	0	0	
700100600_212915_[cov=9.000000]_133_2446_+	0	1	0	0	1	1	0	0	1	
700100600_81506_[cov=3.000000]_1_377_-	0	1	0	1	0	1	0	0	0	
700100600_98376_[cov=4.000000]_1_703_+	0	0	0	0	0	0	0	0	0	
700109242_194317_[cov=16.500000]_72_2555_-	0	0	1	0	1	0	1	1	0	
700109242_178720_[cov=18.000000]_1_2166_+	0	1	1	0	1	0	1	1	0	
700109242_105503_[cov=3.000000]_1_1604_+	1	1	1	1	0	1	1	0	1	
700100600_221299_[cov=9.000000]_209_3859_-	0	1	1	1	0	1	1	0	1	
700099803_317576_[cov=12.000000]_10975_13238_-	0	1	0	0	1	1	0	0	0	
700099803_307783_[cov=56.000000]_1708_4150_+	0	1	0	1	1	1	0	0	1	
700100600_224339_[cov=10.000000]_4533_6671_+	1	1	0	1	0	1	1	0	1	
700100600_212243_[cov=10.000000]_1_4058_-	1	0	1	1	1	1	0	1	1	
700100600_64227_[cov=5.000000]_1_504_+	0	1	0	0	0	1	0	0	0	
700109242_192881_[cov=14.000000]_5705_7912_-	0	1	1	0	0	0	1	1	0	
700100600_171240_[cov=5.000000]_1_648_+	1	1	1	1	0	1	0	0	0	
700100600_220650_[cov=11.000000]_1_3576_-	1	1	1	1	0	1	1	1	1	
700099803_274053_[cov=6.000000]_598_2281_-	1	1	1	1	1	1	1	1	1	
700100600_215118_[cov=8.000000]_327_2754_+	1	1	0	0	0	1	0	0	0	
700100600_190283_[cov=7.000000]_1_1259_-	1	1	1	1	1	1	1	1	1	
700100600_191091_[cov=5.000000]_1_2631_-	1	1	0	0	0	1	0	0	0	
700109242_197408_[cov=16.000000]_1055_5373_+	0	0	1	0	1	0	1	0	0	
700099803_288103_[cov=7.000000]_1_3176_-	0	1	0	1	0	1	0	0	1	
700100600_188694_[cov=7.000000]_412_1652_+	1	1	0	1	0	0	0	0	1	
700099803_294521_[cov=8.000000]_1_2762_-	0	0	0	0	0	0	0	0	0	
700109242_200602_[cov=5.000000]_12898_16269_-	0	0	1	0	1	0	1	1	1	
